mcc,description,category,Tran_Type,Tran_category
742,Veterinary Services,Agricultural services,Debit,Business Services
763,Agricultural Co-operatives,Agricultural services,Debit,Business Services
780,Landscaping and Horticultural Services,Agricultural services,Debit,Business Services
1520,General Contractors Residential and Commercial,Contracted services,Debit,Business Services
1711,"Heating, Plumbing, and Air Conditioning Contractors",Contracted services,Debit,Business Services
1731,Electrical Contractors,Contracted services,Debit,Business Services
1740,"Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors",Contracted services,Debit,Business Services
1750,Carpentry Contractors,Contracted services,Debit,Business Services
1761,"Roofing, Siding, and Sheet Metal Work Contractors",Contracted services,Debit,Business Services
1771,Concrete Work Contractors,Contracted services,Debit,Business Services
1799,Special Trade Contractors (Not Elsewhere Classified),Contracted services,Debit,Business Services
2741,Miscellaneous Publishing and Printing,Contracted services,Debit,Business Services
2791,"Typesetting, Plate Making and Related Services",Contracted services,Debit,Business Services
2842,"Specialty Cleaning, Polishing and Sanitation Preparations",Contracted services,Debit,Business Services
3000,UNITED AIRLINES,Airlines,Debit,Auto & Transport
3001,AMERICAN AIRLINES,Airlines,Debit,Auto & Transport
3005,BRITISH AIRWAYS,Airlines,Debit,Auto & Transport
3006,JAPAN AIRLINES,Airlines,Debit,Auto & Transport
3007,AIR FRANCE,Airlines,Debit,Auto & Transport
3355,SIXT CAR RENTAL,Auto Rental,Debit,Auto & Transport
3357,HERTZ,Auto Rental,Debit,Auto & Transport
3389,AVIS RENT-A-CAR,Auto Rental,Debit,Auto & Transport
3405,ENTERPRISE RENT-A-CAR,Auto Rental,Debit,Auto & Transport
3503,SHERATON,Hotels,Debit,Travel
3504,HILTON HOTELS,Hotels,Debit,Travel
3509,MARRIOTT,Hotels,Debit,Travel
3512,INTER-CONTINENTAL HOTELS,Hotels,Debit,Travel
3523,PENINSULA HOTEL,Hotels,Debit,Travel
3543,FOUR SEASONS HOTELS,Hotels,Debit,Travel
3577,MANDARIN ORIENTAL HOTEL,Hotels,Debit,Travel
4011,Railroads,Transportation,Debit,Auto & Transport
4111,"Local and Suburban Commuter Passenger Transportation, Including Ferries",Transportation,Debit,Auto & Transport
4112,Passenger Railways,Transportation,Debit,Auto & Transport
4119,Ambulance Services,Transportation,Debit,Auto & Transport
4121,Taxicabs and Limousines,Transportation,Debit,Auto & Transport
4131,Bus Lines,Transportation,Debit,Auto & Transport
4214,"Motor Freight Carriers and Trucking Local and Long Distance, Moving and Storage Companies, and Local Delivery",Transportation,Debit,Auto & Transport
4215,"Courier Services Air and Ground, and Freight Forwarders",Transportation,Debit,Auto & Transport
4225,"Public Warehousing and Storage Farm Products, Refrigerated Goods, Household Goods, and Storage",Transportation,Debit,Auto & Transport
4411,Steamship and Cruise Lines,Transportation,Debit,Auto & Transport
4457,Boat Rentals and Leasing,Transportation,Debit,Auto & Transport
4468,"Marinas, Marine Service, and Supplies",Transportation,Debit,Auto & Transport
4511,Airlines and Air Carriers (Not Elsewhere Classified),Transportation,Debit,Auto & Transport
4582,"Airports, Flying Fields, and Airport Terminals",Transportation,Debit,Auto & Transport
4722,Travel Agencies and Tour Operators,Transportation,Debit,Auto & Transport
4723,Package Tour Operators Germany Only,Transportation,Debit,Auto & Transport
4784,Tolls and Bridge Fees,Transportation,Debit,Auto & Transport
4789,Transportation Services (Not Elsewhere Classified),Transportation,Debit,Auto & Transport
4812,Telecommunication Equipment and Telephone Sales,Utilities,Debit,Bills & Utilities
4814,"Telecommunication Services, including Local and Long Distance Calls, Credit Card Calls, Calls Through Use of Magnetic-",Utilities,Debit,Bills & Utilities
4816,Computer Network/Information Services,Utilities,Debit,Bills & Utilities
4821,Telegraph Services,Utilities,Debit,Bills & Utilities
4829,Money Transfer,Utilities,Debit,Bills & Utilities
4899,"Cable, Satellite and Other Pay Television/Radio/Streaming Services",Utilities,Debit,Bills & Utilities
4900,"Utilities Electric, Gas, Water, and Sanitary",Utilities,Debit,Bills & Utilities
5013,Motor Vehicle Supplies and New Parts,Retail outlets,Debit,Shopping
5021,Office and Commercial Furniture,Retail outlets,Debit,Shopping
5039,Construction Materials (Not Elsewhere Classified ),Retail outlets,Debit,Shopping
5044,"Photographic, Photocopy, Microfilm Equipment and Supplies",Retail outlets,Debit,Shopping
5045,Computers and Computer Peripheral Equipment and Software,Retail outlets,Debit,Shopping
5046,Commercial Equipment (Not Elsewhere Classified),Retail outlets,Debit,Shopping
5047,"Medical, Dental, Ophthalmic and Hospital Equipment and Supplies",Retail outlets,Debit,Shopping
5051,Metal Service Centers and Offices,Retail outlets,Debit,Shopping
5065,Electrical Parts and Equipment,Retail outlets,Debit,Shopping
5072,"Hardware, Equipment and Supplies",Retail outlets,Debit,Shopping
5074,Plumbing and Heating Equipment and Supplies,Retail outlets,Debit,Shopping
5085,Industrial Supplies (Not Elsewhere Classified),Retail outlets,Debit,Shopping
5094,"Precious Stones and Metals, Watches and Jewelry",Retail outlets,Debit,Shopping
5099,Durable Goods (Not Elsewhere Classified),Retail outlets,Debit,Shopping
5111,"Stationery, Office Supplies, Printing and Writing Paper",Retail outlets,Debit,Shopping
5122,"Drugs, Drug Proprietaries, and Druggist Sundries",Retail outlets,Debit,Shopping
5131,"Piece Goods, Notions, and Other Dry Goods",Retail outlets,Debit,Shopping
5137,"Men, Women, and Children Uniforms and Commercial Clothing",Retail outlets,Debit,Shopping
5139,Commercial Footwear,Retail outlets,Debit,Shopping
5169,Chemicals and Allied Products (Not Elsewhere Classified),Retail outlets,Debit,Shopping
5172,Petroleum and Petroleum Products,Retail outlets,Debit,Shopping
5192,"Books, Periodicals and Newspapers",Retail outlets,Debit,Shopping
5193,"Florists Supplies, Nursery Stock and Flowers",Retail outlets,Debit,Shopping
5198,"Paints, Varnishes and Supplies",Retail outlets,Debit,Shopping
5199,Nondurable Goods (Not Elsewhere Classified),Retail outlets,Debit,Shopping
5200,Home Supply Warehouse Stores,Retail outlets,Debit,Shopping
5211,Lumber and Building Materials Stores,Retail outlets,Debit,Shopping
5231,"Glass, Paint, and Wallpaper Stores",Retail outlets,Debit,Shopping
5251,Hardware Stores,Retail outlets,Debit,Shopping
5261,Nurseries and Lawn and Garden Supply Stores,Retail outlets,Debit,Shopping
5262,Marketplaces,Retail outlets,Debit,Shopping
5271,Mobile Home Dealers,Retail outlets,Debit,Shopping
5300,Wholesale Clubs,Retail outlets,Debit,Shopping
5309,Duty Free Stores,Retail outlets,Debit,Shopping
5310,Discount Stores,Retail outlets,Debit,Shopping
5311,Department Stores,Retail outlets,Debit,Shopping
5331,Variety Stores,Retail outlets,Debit,Shopping
5399,Miscellaneous General Merchandise,Retail outlets,Debit,Shopping
5411,Grocery Stores and Supermarkets,Retail outlets,Debit,Shopping
5422,Freezer and Locker Meat Provisioners,Retail outlets,Debit,Shopping
5441,"Candy, Nut, and Confectionery Stores",Retail outlets,Debit,Shopping
5451,Dairy Products Stores,Retail outlets,Debit,Shopping
5462,Bakeries,Retail outlets,Debit,Shopping
5499,Miscellaneous Food Stores Convenience Stores and Specialty Markets,Retail outlets,Debit,Shopping
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",Retail outlets,Debit,Shopping
5521,"Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing",Retail outlets,Debit,Shopping
5532,Automotive Tire Stores,Retail outlets,Debit,Shopping
5533,Automotive Parts and Accessories Stores,Retail outlets,Debit,Shopping
5541,Service Stations (With or without Ancillary Services),Retail outlets,Debit,Shopping
5542,Automated Fuel Dispensers,Retail outlets,Debit,Shopping
5551,Boat Dealers,Retail outlets,Debit,Shopping
5552,Electric Vehicle Charging,Retail outlets,Debit,Shopping
5561,"Camper, Recreational and Utility Trailer Dealers",Retail outlets,Debit,Shopping
5571,Motorcycle Shops and Dealers,Retail outlets,Debit,Shopping
5592,Motor Homes Dealers,Retail outlets,Debit,Shopping
5598,Snowmobile Dealers,Retail outlets,Debit,Shopping
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)",Retail outlets,Debit,Shopping
5611,Men and Boys Clothing and Accessories Stores,Clothing outlets,Debit,Shopping
5621,Women Ready-To-Wear Stores ..,Clothing outlets,Debit,Shopping
5631,Women Accessory and Specialty Shops,Clothing outlets,Debit,Shopping
5641,Children and Infants Wear Stores,Clothing outlets,Debit,Shopping
5651,Family Clothing Stores,Clothing outlets,Debit,Shopping
5655,Sports and Riding Apparel Stores,Clothing outlets,Debit,Shopping
5661,Shoe Stores,Clothing outlets,Debit,Shopping
5681,Furriers and Fur Shops,Clothing outlets,Debit,Shopping
5691,Men and Women Clothing Stores,Clothing outlets,Debit,Shopping
5697,"Tailors, Seamstresses, Mending, and Alterations",Clothing outlets,Debit,Shopping
5698,Wig and Toupee Stores,Clothing outlets,Debit,Shopping
5699,Miscellaneous Apparel and Accessory Shops,Clothing outlets,Debit,Shopping
5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",Miscellaneous outlets,Debit,Shopping
5713,Floor Covering Stores,Miscellaneous outlets,Debit,Shopping
5714,"Drapery, Window Covering, and Upholstery Stores",Miscellaneous outlets,Debit,Shopping
5718,"Fireplace, Fireplace Screens and Accessories Stores",Miscellaneous outlets,Debit,Shopping
5719,Miscellaneous Home Furnishing Specialty Stores,Miscellaneous outlets,Debit,Shopping
5722,Household Appliance Stores,Miscellaneous outlets,Debit,Shopping
5732,Electronics Stores,Miscellaneous outlets,Debit,Shopping
5733,"Music Stores Musical Instruments, Pianos, and Sheet Music",Miscellaneous outlets,Debit,Shopping
5734,Computer Software Stores,Miscellaneous outlets,Debit,Shopping
5735,Record Stores,Miscellaneous outlets,Debit,Shopping
5811,Caterers,Miscellaneous outlets,Debit,Shopping
5812,Eating Places and Restaurants,Restaurants,Debit,Food & Dining
5813,"Drinking Places (Alcoholic Beverages) Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques",Restaurants,Debit,Food & Dining
5814,Fast Food Restaurants,Restaurants,Debit,Food & Dining
5815,"Digital Goods Media Books, Movies, Music",Miscellaneous outlets,Debit,Shopping
5816,Digital Goods Games,Miscellaneous outlets,Debit,Shopping
5817,Digital Goods Applications (Excludes Games),Miscellaneous outlets,Debit,Shopping
5818,Digital Goods Large Digital Goods Merchant,Miscellaneous outlets,Debit,Shopping
5912,Drug Stores and Pharmacies,Miscellaneous outlets,Debit,Shopping
5921,"Package Stores Beer, Wine, and Liquor",Miscellaneous outlets,Debit,Shopping
