AccountID,Account_Type,TransactionID,PostingDate,TransactionDate,Amount,Description,Transaction_Category,MCC,MCC_Description,Transaction_status,Currency,Transaction_Type,Source_Transaction_Type,Data_Date
JOHN_PERSONAL,Personal,57d66297-6485-4f63-9289-3ad326da3080,2024-01-01,2024-01-01,3000.0,Direct Deposit,Paycheck,9961,Direct Deposit,Posted,USD,Credit,Credit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,f9aef656-f074-4d26-a05c-a424a6e94a3f,2024-01-01,2024-01-01,69.14,Vocational and Trade Schools,Education,8249,Vocational and Trade Schools,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,57eb7d11-da65-40da-9488-2f9261289b33,2024-01-02,2024-01-02,146.05,"Antique Shops Sales, Repairs, and Restoration Services",Shopping,5932,"Antique Shops Sales, Repairs, and Restoration Services",Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,c462197f-9f9b-435b-9031-bd98c7565cd1,2024-01-03,2024-01-03,65.57,Financial Institutions Manual Cash Disbursements,Business Services,6010,Financial Institutions Manual Cash Disbursements,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,1e84a457-8e82-4b0d-adee-f6749df86516,2024-01-03,2024-01-03,221.71,Advertising Services,Business Services,7311,Advertising Services,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,21ef2a6a-b025-4465-81d6-784d6a1e1e92,2024-01-04,2024-01-04,288.54,Chemicals and Allied Products (Not Elsewhere Classified),Shopping,5169,Chemicals and Allied Products (Not Elsewhere Classified),Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,7a0122f7-0361-4750-8109-89ead74fa410,2024-01-04,2024-01-04,143.75,Automotive Body Repair Shops,Business Services,7531,Automotive Body Repair Shops,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,7f582580-c4da-4ed1-ac8e-f0a9e6a54b5e,2024-01-05,2024-01-05,349.99,Bakeries,Shopping,5462,Bakeries,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,d6a328bc-b5d7-4fdd-addc-3281b5ab0cbd,2024-01-06,2024-01-06,230.07,Stenographic and Secretarial Support,Business Services,7339,Stenographic and Secretarial Support,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,7b48272f-1176-41d0-8e1d-b99a896a73a7,2024-01-07,2024-01-07,211.22,Duty Free Stores,Shopping,5309,Duty Free Stores,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,ee07df4f-b844-4f57-8080-b8f418c35bb2,2024-01-08,2024-01-08,50.85,Non-Financial Institutions Stored Value Card Purchase/Load,Business Services,6540,Non-Financial Institutions Stored Value Card Purchase/Load,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,bdee2dd0-d29f-4b3e-9fd3-183bf4207d16,2024-01-09,2024-01-09,73.82,Automotive Paint Shops,Business Services,7535,Automotive Paint Shops,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,478ef639-1ee3-4e2c-b62a-8588b056fd97,2024-01-09,2024-01-09,252.94,Digital Goods Games,Shopping,5816,Digital Goods Games,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,8fe91897-6aeb-4c6a-82a8-1b15eca9fa49,2024-01-10,2024-01-10,418.14,Durable Goods (Not Elsewhere Classified),Shopping,5099,Durable Goods (Not Elsewhere Classified),Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,f6a5b9f3-e412-4719-a4a1-b5b999e3a34e,2024-01-10,2024-01-10,185.81,"Stationery, Office Supplies, Printing and Writing Paper",Shopping,5111,"Stationery, Office Supplies, Printing and Writing Paper",Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,1d96733c-5805-44c3-99ed-aa2f64d0cfdf,2024-01-10,2024-01-10,34.96,Sports and Riding Apparel Stores,Shopping,5655,Sports and Riding Apparel Stores,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,04dc7039-12cd-428d-a66e-0937062ca73f,2024-01-10,2024-01-10,419.05,Bail and Bond Payments,Business Services,9223,Bail and Bond Payments,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,0467bce0-989e-4810-b7fd-018b9e1d10d0,2024-01-10,2024-01-10,114.92,Motion Picture and Video Tape Production and Distribution,Entertainment,7829,Motion Picture and Video Tape Production and Distribution,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,7419804e-1aa7-4c66-89e7-e0a806f0f7a7,2024-01-11,2024-01-11,133.09,Motor Home and Recreational Vehicle Rentals,Business Services,7519,Motor Home and Recreational Vehicle Rentals,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,3d403028-d6eb-42d7-8a9e-6cbcf69e8ba0,2024-01-12,2024-01-12,57.35,Women Ready-To-Wear Stores ..,Shopping,5621,Women Ready-To-Wear Stores ..,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,000e1b22-5315-457e-bdb7-7146c7d5037c,2024-01-12,2024-01-12,282.99,Non-Financial Institutions Stored Value Card Purchase/Load,Business Services,6540,Non-Financial Institutions Stored Value Card Purchase/Load,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,11f3650a-7efa-496b-9f5f-975302cea4d4,2024-01-13,2024-01-13,144.29,Fast Food Restaurants,Food & Dining,5814,Fast Food Restaurants,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,f765a74b-a3e9-4870-ba81-f0836e6e16b9,2024-01-15,2024-01-15,3000.0,Direct Deposit,Paycheck,9961,Direct Deposit,Posted,USD,Credit,Credit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,efebc0d8-5435-4406-b8b0-47c74492fd03,2024-01-16,2024-01-16,280.48,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)",Shopping,5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)",Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,98f9cd8f-6da0-4740-bde2-32d2007fe1d2,2024-01-16,2024-01-16,2362.48,ACH Deposit,Financial,9963,ACH Deposit,Posted,USD,Credit,Credit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,4a25b146-b6c6-4de5-9162-a30d86009c87,2024-01-17,2024-01-17,338.97,"Florists Supplies, Nursery Stock and Flowers",Shopping,5193,"Florists Supplies, Nursery Stock and Flowers",Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,e53ad98c-7863-48f2-9355-bb99b108b9c6,2024-01-18,2024-01-18,155.83,Floor Covering Stores,Shopping,5713,Floor Covering Stores,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,79aa7152-26f1-4c5c-ad21-c8fd03fe7428,2024-01-19,2024-01-19,284.35,Carpet and Upholstery Cleaning,Business Services,7217,Carpet and Upholstery Cleaning,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,88f16fe5-2b34-45fd-9d9c-246dbdee6cdc,2024-01-19,2024-01-19,258.87,Metal Service Centers and Offices,Shopping,5051,Metal Service Centers and Offices,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,a4213daa-6bbc-4299-bd69-07b98be94b83,2024-01-19,2024-01-19,281.53,Women Accessory and Specialty Shops,Shopping,5631,Women Accessory and Specialty Shops,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,2e307bf7-ceb9-4783-b016-ecedc74cb803,2024-01-20,2024-01-20,426.28,Grocery Stores and Supermarkets,Shopping,5411,Grocery Stores and Supermarkets,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
JOHN_PERSONAL,Personal,65011439-b1c5-47ab-8f7e-98b2fdaf6d95,2024-01-20,2024-01-20,203.18,Cigar Stores and Stands,Shopping,5993,Cigar Stores and Stands,Posted,USD,Debit,Debit,2025-11-21 16:48:47.630176
